Category	SR #	Fault Scenario	OpCode	GPUOOB Property/OOB API	DBUS Information	Telemetry	Poll/Event Triggered	Comments	Next Steps	Plan for QS0
GPU Failures	GPU_2	GPU PWR BRAKE Asserted	Opcode 1Bh - Query Clock Frequency Info Throttle-Reason: HW Power Brake Slowdown	gpu.clock.throttleReason/GPUGetThrottleReason	Not implemented in GPU Manager. Dynamic in oob_properties, need to ask Sharad for implementation plan.		DBUS Property Change Signal	GPU SMBPBI spec v5.1 does not have support for this Arg1	GPU VBIOS Team: When will this be supported by? 	Support available in GPUOOB/GPUMGR
GPU Failures	GPU_4	GPU[0-7] Row remapping failure	Opcode 20h - Requre Row-remapping Statistics	gpu.device.RowRemappingStats.stateFlagPage0/GPUGetRowRemappingFailureState	Not implemented in GPU Manager. Dynamic in oob_properties, need to ask Sharad for implementation plan.		DBUS Property Change Signal	How do these counts map to the fault of interest  --  Row remapping pending or failure checks need to be checked if supported or not. Sainath to check will evaluate need of new properties or not.   --  New property is being added to gpuoob		Support available in GPUOOB/GPUMGR
GPU Failures	GPU_5	GPU[0-7] Row remapping pending	Opcode 20h - Requre Row-remapping Statistics	gpu.device.RowRemappingStats.stateFlagPage0/GPUGetRowRemappingPendingState	Not implemented in GPU Manager. Dynamic in oob_properties, need to ask Sharad for implementation plan.		DBUS Property Change Signal	How do these counts map to the fault of interest  --  Same as above.    -- New property is being added to gpuoob		Support available in GPUOOB/GPUMGR
GPU Failures		GPU[0-7] Disabled single bit interrupts	Opcode 1DH - (Xid reporting via DEM)	gpu.xid.event	Need not be implemented in GPU Manager. 		Use Core API	Event pending handling takes care of polling this property upon new event?	Ask Harinder	Support available in GPUOOB/GPUMGR
GPU Failures	GPU_9	GPU[0-7] in Throttled state	Opcode 1Bh - Query Clock Frequency Info	gpu.clock.throttleReason/GPUGetThrottleReason	Not implemented in GPU Manager. Dynamic in oob_properties, need to ask Sharad for implementation plan.		DBUS Property Change Signal	How is this different from the Fault in row 2  -- Sainath to check output format of throttleReason.   -- It is a hex string. AML needs to decode the string and compare it with the of interest (dynamic message arg support AML will support) 		Support available in GPUOOB/GPUMGR
GPU Failures	GPU_10	GPU[0-7] PCIe link speed state change	Opcode 21h - Query PCIe Link Status - Speed Select	gpu.pcie.linkStatus.page0/GPUGetPCIeLinkSpeed		New Value to be additional data	DBUS Property Change Signal	Who is maintaining the current speed/link state? Because GPU Mgr will just return the current speed/state.   --  GPU Manager to return current speed. AML to keep track of change. 		Support available in GPUOOB/GPUMGR
GPU Failures	GPU_11	GPU[0-7] PCIe link width state change	Opcode 21h - Query PCIe Link Status - Lane Select	gpu.pcie.linkStatus.page0/GPUGetPCIeLinkWidth		New Value to be additional data	DBUS Property Change Signal	Who is maintaining the current speed/link state? Because GPU Mgr will just return the current speed/state.   --  GPU Manager to return current state. AML to keep track of change.  		Support available in GPUOOB/GPUMGR
GPU Failures	GPU_13	GPU[0-7] I2C Hang	Use Baseboard OpCode B1h, ARG1=00h, Data Output Bit 29   I2C-1 Peripheral Error Interrupt		Not implemented in GPU Manager and GPUOOB.		DBUS Property Change Signal	Does this map to FPGA backend error 0x02. If not, is there a corresponding backend error for this? If not backend error, how do we realize this error?   Check with Shakeeb with the implementation status for publishing backend errors on dbus  Similar to I2C Hang NVSwitch ---  0x01 0x04 are I2C Hangs (0x01 hang is interface hang, 0x04 is chip hangs but interface didn't hang)  0x01 == Timeout (Interface Hang) 0x04 == NACK (Chip Hang)  0x02 == FPGA in hang State (Don't use here, if FPGA is working we should always see 0x01)   Same valid for NVSW as well	Ask FPGA team	Support available in GPUOOB/GPUMGR
GPU Failures	GPU_16	GPU[0-7] Destination FLA Translation Error	Opcode 1DH - (Xid reporting via DEM)	gpu.xid.event	Need not be implemented in GPU Manager 		DBUS Property Change Signal	Event pending handling takes care of polling this property upon new event?	Ask Harinder	Support available in GPUOOB/GPUMGR
GPU Failures	GPU_20	GPU [0-7] Nvlink Error (...) 	Opcode 1AH	gpu.nvlink.aggregateReplayErrCount/GPUGetAggregateNVLinkReplayCount gpu.nvlink.aggregateRecoveryErrCount/GPUGetAggregateNVLinkRecoveryErrorCount gpu.nvlink.aggregateFlitCRCErrCount/GPUGetAggregateNVLinkFlitCRCErrorCount gpu.nvlink.aggregateDataCRCErrCount/GPUGetAggregateNVLinkDataCRCErrorCount	Implemented - but aggregate isn't implemented. So per GPU needs to be taken care of by AML. 		DBUS Property Change Signal	NVLink Query API returns 3 types of error counts. Which errors is the Vulcan fault interested in?   Looks like this is NVLink State check? Each GPU has 32 NVLinks, are they all supposed to be UP/DOWN together? Other config? Needs verification or some register to be monitored?   --  Sainath to check if possible to check state of all nvlinks of one GPU  ?  --  Split into 4 events per error category. 		Support available in GPUOOB/GPUMGR
