"I2C Slave Address
 (7-bit)","Register
 Address (HEX)",B7,B7_dev,B6,B6_dev,B5,B5_dev,B4,B4_dev,B3,B3_dev,B2,B2_dev,B1,B1_dev,B0,B0_dev
0x0b,0x0,GPU8_INT_OVERT_N,GPU7,GPU7_INT_OVERT_N,GPU6,GPU6_INT_OVERT_N,GPU5,GPU5_INT_OVERT_N,GPU4,GPU4_INT_OVERT_N,GPU3,GPU3_INT_OVERT_N,GPU2,GPU2_INT_OVERT_N,GPU1,GPU1_INT_OVERT_N,GPU0
0x0b,0x1,NVSW4_OSFP_OVERT_INT_N,NVSWITCH3,NVSW3_OSFP_OVERT_INT_N,NVSWITCH2,NVSW2_OSFP_OVERT_INT_N,NVSWITCH1,NVSW1_OSFP_OVERT_INT_N,NVSWITCH0,NVSW4_OVERT_INT_N,NVSWITCH3,NVSW3_OVERT_INT_N,NVSWITCH2,NVSW2_OVERT_INT_N,NVSWITCH1,NVSW1_OVERT_INT_N,NVSWITCH0
0x0b,0x2,GPU8_INT_PWRGD,GPU7,GPU7_INT_PWRGD,GPU6,GPU6_INT_PWRGD,GPU5,GPU5_INT_PWRGD,GPU4,GPU4_INT_PWRGD,GPU3,GPU3_INT_PWRGD,GPU2,GPU2_INT_PWRGD,GPU1,GPU1_INT_PWRGD,GPU0
0x0b,0x3,GPU8_INT_PRSNT_N,GPU7,GPU7_INT_PRSNT_N,GPU6,GPU6_INT_PRSNT_N,GPU5,GPU5_INT_PRSNT_N,GPU4,GPU4_INT_PRSNT_N,GPU3,GPU3_INT_PRSNT_N,GPU2,GPU2_INT_PRSNT_N,GPU1,GPU1_INT_PRSNT_N,GPU0
0x0b,0x4,NVSW_34_VDD1V8_INT_PG,NVSWITCH3 NVSWITCH2,NVSW_12_VDD1V8_INT_PG,NVSWITCH1 NVSWITCH0,NVSW_2_HVDD_INT_PG,NVSWITCH1,NVSW_2_DVDD_INT_PG,NVSWITCH1,NVSW_2_VDD_INT_PG,NVSWITCH1,NVSW_1_HVDD_INT_PG,NVSWITCH0,NVSW_1_DVDD_INT_PG,NVSWITCH0,NVSW_1_VDD_INT_PG,NVSWITCH0
0x0b,0x5,NVSW_34_IBC_INT_PG,NVSWITCH3 NVSWITCH2,NVSW_12_IBC_INT_PG,NVSWITCH1 NVSWITCH0,NVSW_4_HVDD_INT_PG,NVSWITCH3,NVSW_4_DVDD_INT_PG,NVSWITCH3,NVSW_4_VDD_INT_PG,NVSWITCH3,NVSW_3_HVDD_INT_PG,NVSWITCH2,NVSW_3_DVDD_INT_PG,NVSWITCH2,NVSW_3_VDD_INT_PG,NVSWITCH2
0x0b,0x6,HSC8_ALERT_INT_N,HSC7,HSC7_ALERT_INT_N,HSC6,HSC6_ALERT_INT_N,HSC5,HSC5_ALERT_INT_N,HSC4,HSC4_ALERT_INT_N,HSC3,HSC3_ALERT_INT_N,HSC2,HSC2_ALERT_INT_N,HSC1,HSC1_ALERT_INT_N,HSC0
0x0b,0x7,NVSW_34_3V3_INT_PG,NVSWITCH3 NVSWITCH2,NVSW_12_3V3_INT_PG,NVSWITCH1 NVSWITCH0,NVSW_34_5V_INT_PG,NVSWITCH3 NVSWITCH2,NVSW_12_5V_INT_PG,NVSWITCH1 NVSWITCH0,HSC_STBY_ALERT_INT_N,HSCSTBY,HSC11_ALERT_INT_N,HSC10,HSC10_ALERT_INT_N,HSC9,HSC9_ALERT_INT_N,HSC8
0x0b,0x8,HSC8_PWR_INT_GD,HSC7,HSC7_PWR_INT_GD,HSC6,HSC6_PWR_INT_GD,HSC5,HSC5_PWR_INT_GD,HSC4,HSC4_PWR_INT_GD,HSC3,HSC3_PWR_INT_GD,HSC2,HSC2_PWR_INT_GD,HSC1,HSC1_PWR_INT_GD,HSC0
0x0b,0x9,RET_4567_1V8LDO_INT_PG,PCIeRetimer7 PCIeRetimer6 PCIeRetimer5 PCIeRetimer4,RET_4567_1V8VDD_INT_PG,PCIeRetimer7 PCIeRetimer6 PCIeRetimer5 PCIeRetimer4,RET_0123_1V8LDO_INT_PG,PCIeRetimer3 PCIeRetimer2 PCIeRetimer1 PCIeRetimer0,RET_0123_1V8VDD_INT_PG,PCIeRetimer3 PCIeRetimer2 PCIeRetimer1 PCIeRetimer0,RSVD,RSVD,HSC11_PWR_INT_GD,HSC10,HSC10_PWR_INT_GD,HSC11,HSC9_PWR_INT_GD,HSC8
0x0b,0xA,RET3_4567_0V9_INT_PG,PCIeRetimer7,RET2_4567_0V9_INT_PG,PCIeRetimer6,RET1_4567_0V9_INT_PG,PCIeRetimer5,RET0_4567_0V9_INT_PG,PCIeRetimer4,RET3_0123_0V9_INT_PG,PCIeRetimer3,RET2_0123_0V9_INT_PG,PCIeRetimer2,RET1_0123_0V9_INT_PG,PCIeRetimer1,RET0_0123_0V9_INT_PG,PCIeRetimer0
0x0b,0xB,PEXSW_PEX0V8_INT_PG,unknown,NVSW_3_VR_FLT_INT_N,NVSWITCH3,NVSW_2_VR_FLT_INT_N,NVSWITCH2,NVSW_1_VR_FLT_INT_N,NVSWITCH1,NVSW_0_VR_FLT_INT_N,NVSWITCH0,SYS_3V0_INT_PG,HMC,SYS_3V3_INT_PG,HMC,SYS_1V8_INT_PG,HMC
0x0b,0xC,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_PEX_REFCLK3_DET_INT,FPGA,FPGA_RET_4567_REFCLK2_DET_INT,FPGA,FPGA_RET_0123_REFCLK1_DET_INT,FPGA,ALT_SENSE_READY_INT,FPGA
0x0b,0x0D,RSVD,,RSVD,,HERM_3_INT_PG,,HERM_2_INT_PG,,HERM_1_INT_PG,,HMC_INT_PG,,CAR_INT_PG,,CAR_COME_INT_PG,
0x0b,0x0E,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,SMBPBI_FENCE_BMC_INT,,SMBPBI_FENCE_HMC_INT,
0x0b,0x0F,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,<GPU_PWR_EN>,
0x0b,0x10,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,<EN_SW_POWER_BRAKE_N>,,<EN_SW_GPU_BASE_PWR_EN>,,RSVD,
0x0b,0x11,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,<HOST2BB_POWER_BRAKE_N>,,<HOST2BB_PWR>,,RSVD,
0x0b,0x12,<HERM_PWR_EN>,,<COMe_PWR_EN>,,<RET_PWR_EN>,,<PEX_SWITCH_PWR_EN>,,<NVSW_3_4_PWR_EN >,,<NVSW_1_2_PWR_EN >,,<HSC_1_11_EN_FPGA>,,<SysVR_PWR_EN>,
0x0b,0x13,GPU8M_PWRGD,,GPU7M_PWRGD,,GPU6M_PWRGD,,GPU5M_PWRGD,,GPU4M_PWRGD,,GPU3M_PWRGD,,GPU2M_PWRGD,,GPU1M_PWRGD,
0x0b,0x14,GPU8_PWRGD,,GPU7_PWRGD,,GPU6_PWRGD,,GPU5_PWRGD,,GPU4_PWRGD,,GPU3_PWRGD,,GPU2_PWRGD,,GPU1_PWRGD,
0x0b,0x15,GPU8M_PRSNT_N,,GPU7M_PRSNT_N,,GPU6M_PRSNT_N,,GPU5M_PRSNT_N,,GPU4M_PRSNT_N,,GPU3M_PRSNT_N,,GPU2M_PRSNT_N,,GPU1M_PRSNT_N,
0x0b,0x16,GPU8_PRSNT_N,,GPU7_PRSNT_N,,GPU6_PRSNT_N,,GPU5_PRSNT_N,,GPU4_PRSNT_N,,GPU3_PRSNT_N,,GPU2_PRSNT_N,,GPU1_PRSNT_N,
0x0b,0x17,GPU8M_OVERT_N,,GPU7M_OVERT_N,,GPU6M_OVERT_N,,GPU5M_OVERT_N,,GPU4M_OVERT_N,,GPU3M_OVERT_N,,GPU2M_OVERT_N,,GPU1M_OVERT_N,
0x0b,0x18,GPU8_OVERT_N,,GPU7_OVERT_N,,GPU6_OVERT_N,,GPU5_OVERT_N,,GPU4_OVERT_N,,GPU3_OVERT_N,,GPU2_OVERT_N,,GPU1_OVERT_N,
0x0b,0x19,NVSW4_TH_OSFP_OVERTM_N,,NVSW3_TH_OSFP_OVERTM_N,,NVSW2_TH_OSFP_OVERTM_N,,NVSW1_TH_OSFP_OVERTM_N,,NVSW4_TH_OVERTM_N,,NVSW3_TH_OVERTM_N,,NVSW2_TH_OVERTM_N,,NVSW1_TH_OVERTM_N,
0x0b,0x1A,NVSW4_TH_OSFP_OVERT_N,,NVSW3_TH_OSFP_OVERT_N,,NVSW2_TH_OSFP_OVERT_N,,NVSW1_TH_OSFP_OVERT_N,,NVSW4_TH_OVERT_N,,NVSW3_TH_OVERT_N,,NVSW2_TH_OVERT_N,,NVSW1_TH_OVERT_N,
0x0b,0x1B,NVSW_34_VDD1V8M_PG,,NVSW_12_VDD1V8M_PG,,NVSW_2_HVDDM_PG,,NVSW_2_DVDDM_PG,,NVSW_2_VDDM_PG,,NVSW_1_HVDDM_PG,,NVSW_1_DVDDM_PG,,NVSW_1_VDDM_PG,
0x0b,0x1C,NVSW_34_VDD1V8_PG,,NVSW_12_VDD1V8_PG,,NVSW_2_HVDD_PG,,NVSW_2_DVDD_PG,,NVSW_2_VDD_PG,,NVSW_1_HVDD_PG,,NVSW_1_DVDD_PG,,NVSW_1_VDD_PG,
0x0b,0x1D,NVSW_34_IBCM_PG,,NVSW_12_IBCM_PG,,NVSW_4_HVDDM_PG,,NVSW_4_DVDDM_PG,,NVSW_4_VDDM_PG,,NVSW_3_HVDDM_PG,,NVSW_3_DVDDM_PG,,NVSW_3_VDDM_PG,
0x0b,0x1E,NVSW_34_IBC_PG,,NVSW_12_IBC_PG,,NVSW_4_HVDD_PG,,NVSW_4_DVDD_PG,,NVSW_4_VDD_PG,,NVSW_3_HVDD_PG,,NVSW_3_DVDD_PG,,NVSW_3_VDD_PG,
0x0b,0x1F,HSC8_ALERT_M_N,,HSC7_ALERT_M_N,,HSC6_ALERT_M_N,,HSC5_ALERT_M_N,,HSC4_ALERT_M_N,,HSC3_ALERT_M_N,,HSC2_ALERT_M_N,,HSC1_ALERT_M_N,
